step,epoch,epoch_step,loss,learn_rate
5501,1,5501,0.1183648,0.005
6001,1,6001,0.1813481,0.005
6501,1,6501,0.1182438,0.005
7001,1,7001,0.1957948,0.005
7501,1,7501,0.1764236,0.005
8001,1,8001,0.1517162,0.005
8501,1,8501,0.1488246,0.005
9001,1,9001,0.0596408,0.001
9501,1,9501,0.1565305,0.001
10001,1,10001,0.1622253,0.001
501,1,501,0.0189536,0.001
1001,1,1001,0.0917300,0.0005
1501,1,1501,0.1330628,0.0005
2001,1,2001,0.1787275,0.0005
2501,1,2501,0.1362216,0.0005
3001,1,3001,0.1670600,0.0005
10001,1,10001,0.0035797,0.001
10501,1,10501,0.1974602,0.001
11001,1,11001,0.1686996,0.001
1,1,1,0.0055041,0.001
501,1,501,0.1819421,0.001
1001,1,1001,0.1860157,0.001
1501,1,1501,0.1617538,0.001
2001,1,2001,0.1932366,0.001
2501,1,2501,0.1635707,0.001
3001,1,3001,0.1637085,0.001
3501,1,3501,0.2175370,0.001
4001,1,4001,0.1455432,0.001
4501,1,4501,0.1606006,0.001
5001,1,5001,0.1769325,0.001
5501,1,5501,0.1410473,0.001
6001,1,6001,0.1844642,0.001
6501,1,6501,0.1021968,0.001
7001,1,7001,0.1725808,0.001
7501,1,7501,0.1576263,0.001
8001,1,8001,0.1138924,0.001
8501,1,8501,0.1701297,0.001
9001,1,9001,0.1514341,0.001
9501,1,9501,0.1384441,0.001
10001,1,10001,0.1717746,0.001
10501,1,10501,0.1302530,0.001
11001,1,11001,0.1195281,0.001
11501,1,11501,0.1224559,0.001
12001,1,12001,0.1386364,0.001
12501,1,12501,0.1923496,0.001
13001,1,13001,0.2421471,0.001
13501,1,13501,0.1671734,0.001
14001,1,14001,0.1959941,0.001
14501,1,14501,0.1478654,0.001
15001,1,15001,0.1457872,0.001
15501,1,15501,0.1649126,0.001
16001,2,401,0.1452329,0.001
16501,2,901,0.1253371,0.001
17001,2,1401,0.1549148,0.001
17501,2,1901,0.1003728,0.001
18001,2,2401,0.1826513,0.001
18501,2,2901,0.1286490,0.001
19001,2,3401,0.1584829,0.001
19501,2,3901,0.1304582,0.001
20001,2,4401,0.2039735,0.001
20501,2,4901,0.1571038,0.001
21001,2,5401,0.1452241,0.001
21501,2,5901,0.1522863,0.001
22001,2,6401,0.1661954,0.001
22501,2,6901,0.1269590,0.001
23001,2,7401,0.1562614,0.001
23501,2,7901,0.1877438,0.001
24001,2,8401,0.1554083,0.001
24501,2,8901,0.1793380,0.001
25001,2,9401,0.1976541,0.001
25501,2,9901,0.1050329,0.001
26001,2,10401,0.1329370,0.001
26501,2,10901,0.1589964,0.001
27001,2,11401,0.1565772,0.001
27501,2,11901,0.1264776,0.001
28001,2,12401,0.1429573,0.001
28501,2,12901,0.1576205,0.001
29001,2,13401,0.1960404,0.001
29501,2,13901,0.1464091,0.001
30001,2,14401,0.1480642,0.001
30501,2,14901,0.1439585,0.001
31001,2,15401,0.1073816,0.001
31501,3,301,0.1564526,0.001
32001,3,801,0.1673079,0.001
32501,3,1301,0.1430198,0.001
33001,3,1801,0.1725657,0.001
33501,3,2301,0.1849199,0.001
34001,3,2801,0.1165845,0.001
34501,3,3301,0.1541459,0.001
35001,3,3801,0.1425601,0.001
35501,3,4301,0.1715979,0.001
36001,3,4801,0.1773485,0.001
36501,3,5301,0.1640153,0.001
37001,3,5801,0.1509715,0.001
37501,3,6301,0.1682753,0.001
38001,3,6801,0.1235685,0.001
38501,3,7301,0.1218518,0.001
39001,3,7801,0.1310977,0.001
39501,3,8301,0.1316114,0.001
40001,3,8801,0.1441490,0.001
40501,3,9301,0.1451228,0.001
41001,3,9801,0.2017099,0.001
41501,3,10301,0.1618448,0.001
42001,3,10801,0.1629623,0.001
42501,3,11301,0.1403958,0.001
43001,3,11801,0.1594295,0.001
43501,3,12301,0.1757419,0.001
44001,3,12801,0.1445196,0.001
44501,3,13301,0.1230965,0.001
45001,3,13801,0.1787292,0.001
45501,3,14301,0.1523786,0.001
46001,3,14801,0.1441195,0.001
46501,3,15301,0.1558627,0.001
47001,4,201,0.1902248,0.001
47501,4,701,0.0961697,0.001
48001,4,1201,0.1551425,0.001
48501,4,1701,0.1702829,0.001
49001,4,2201,0.1401686,0.001
49501,4,2701,0.1457789,0.001
50001,4,3201,0.1170434,0.001
50501,4,3701,0.1526718,0.001
51001,4,4201,0.1598712,0.001
51501,4,4701,0.1585824,0.001
52001,4,5201,0.1299861,0.001
52501,4,5701,0.1996715,0.001
53001,4,6201,0.1246671,0.001
53501,4,6701,0.1893198,0.001
54001,4,7201,0.1922035,0.001
54501,4,7701,0.1867144,0.001
55001,4,8201,0.1562917,0.001
55501,4,8701,0.1820497,0.001
56001,4,9201,0.1530073,0.001
56501,4,9701,0.0010686,0.001
57001,4,10201,0.0959296,0.001
57501,4,10701,0.1237278,0.001
58001,4,11201,0.1662127,0.001
58501,4,11701,0.1225425,0.001
59001,4,12201,0.1055201,0.001
59501,4,12701,0.1269982,0.001
60001,4,13201,0.1191352,0.001
60501,4,13701,0.2092168,0.001
61001,4,14201,0.1380734,0.001
61501,4,14701,0.1240222,0.001
62001,4,15201,0.0976686,0.001
62501,5,101,0.1177934,0.001
63001,5,601,0.1267983,0.001
63501,5,1101,0.1077488,0.001
64001,5,1601,0.1295218,0.001
64501,5,2101,0.1127678,0.001
65001,5,2601,0.1222717,0.001
65501,5,3101,0.1091107,0.001
66001,5,3601,0.1701781,0.001
66501,5,4101,0.1806516,0.001
