step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0095266,0.001
501,1,501,0.1121058,0.001
1001,1,1001,0.1132107,0.001
1501,1,1501,0.0815678,0.001
2001,1,2001,0.0975782,0.001
2501,1,2501,0.0990419,0.001
3001,1,3001,0.1190852,0.001
3501,1,3501,0.0942277,0.001
4001,1,4001,0.1263605,0.001
4501,1,4501,0.1161166,0.001
5001,1,5001,0.1200198,0.001
5501,1,5501,0.1553028,0.001
6001,1,6001,0.1001866,0.001
6501,1,6501,0.1219756,0.001
7001,1,7001,0.1688097,0.001
7501,1,7501,0.1354494,0.001
8001,1,8001,0.1577860,0.001
8501,1,8501,0.1049220,0.001
9001,1,9001,0.1141197,0.001
9501,1,9501,0.0913829,0.001
10001,1,10001,0.1448263,0.001
